% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 63.30    5.238958       16169       324           poll
 19.60    1.621862           1    839751           sched_yield
  9.42    0.779475        3575       218           mmap
  4.23    0.350410         309      1133           ioctl
  3.37    0.278624        4803        58           munmap
  0.02    0.001942           0      2789           read
  0.02    0.001268           1      1108           brk
  0.01    0.001030           4       231        83 openat
  0.01    0.000593           9        62           getdents64
  0.01    0.000589           1       304        30 newfstatat
  0.00    0.000336           7        45           futex
  0.00    0.000292           7        37           mprotect
  0.00    0.000287           2       134           close
  0.00    0.000237         237         1           execve
  0.00    0.000166           1        94           fstat
  0.00    0.000162           1       116           fcntl
  0.00    0.000086           3        26         4 stat
  0.00    0.000078           3        25         7 readlink
  0.00    0.000071           3        19           write
  0.00    0.000059          29         2           clone3
  0.00    0.000048           4        10           symlink
  0.00    0.000046           4        11         1 unlink
  0.00    0.000039           1        23           getpid
  0.00    0.000036          12         3           pipe2
  0.00    0.000035          11         3           rseq
  0.00    0.000021           1        15           getcwd
  0.00    0.000018           9         2           socket
  0.00    0.000016           5         3           eventfd2
  0.00    0.000015           2         7           rt_sigprocmask
  0.00    0.000014           4         3           set_robust_list
  0.00    0.000012           4         3         3 mkdir
  0.00    0.000012           6         2           sysinfo
  0.00    0.000011           2         4         1 access
  0.00    0.000011           1         7           dup
  0.00    0.000010          10         1           madvise
  0.00    0.000010          10         1         1 connect
  0.00    0.000006           3         2           pread64
  0.00    0.000005           5         1           bind
  0.00    0.000004           4         1           fadvise64
  0.00    0.000003           3         1           listen
  0.00    0.000003           1         2           gettid
  0.00    0.000003           3         1           get_mempolicy
  0.00    0.000003           1         2           prlimit64
  0.00    0.000002           2         1           setsockopt
  0.00    0.000002           2         1           uname
  0.00    0.000002           2         1           arch_prctl
  0.00    0.000002           2         1           set_tid_address
  0.00    0.000001           1         1           geteuid
  0.00    0.000000           0         7           lseek
  0.00    0.000000           0         1           rt_sigaction
  0.00    0.000000           0         1           sched_get_priority_max
  0.00    0.000000           0         1           sched_get_priority_min
  0.00    0.000000           0         2           sched_getaffinity
  0.00    0.000000           0         8           mbind
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- -----------------------
100.00    8.276915           9    846611       130 total
