Generating SQLite file /root/llama_gguf/fa-logs/nsys-wterm-9b-d0.sqlite from /root/llama_gguf/fa-logs/nsys-wterm-9b-d0.nsys-rep
Processing [/root/llama_gguf/fa-logs/nsys-wterm-9b-d0.sqlite] with [/usr/local/cuda-12.9/nsight-systems-2025.1.3/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     44.7    2,028,255,086        608  3,335,945.9  3,239,241.5  1,646,732  4,886,853  1,408,973.2  void cutlass::Kernel2<cutlass_70_tensorop_s884gemm_f16_128x128_tn_align8>(T1::Params)               
     15.3      695,269,569         96  7,242,391.3  7,243,738.0  7,074,733  7,405,928     76,542.7  void gated_delta_net_cuda<(int)128, (bool)0, (bool)0>(const float *, const float *, const float *, …
     14.7      665,636,578        128  5,200,285.8  5,200,690.0  5,140,132  5,249,122     23,685.1  volta_s884gemm_fp16_256x128_ldg8_tn                                                                 
      4.4      200,846,927         32  6,276,466.5  6,228,198.0  3,338,328  9,351,889  2,936,870.8  void flash_attn_ext_f16<(int)256, (int)256, (int)16, (int)4, (bool)0, (bool)0, (bool)0>(const char …
      4.2      188,623,348        864    218,314.1    142,270.5      2,655    423,835    168,045.2  void dequantize_block_q4_K<__half>(const void *, T1 *)                                              
      4.0      180,017,439        992    181,469.2    145,502.0    137,791    439,643     97,372.3  void convert_unary<float, __half>(const void *, T2 *, long, long, long, uint3, long, long, long)    
      2.3      103,140,141        224    460,447.1    641,160.0    211,293    656,120    214,062.4  void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long, long, long, long)   
      1.9       84,346,583         96    878,610.2    877,957.5    863,062    894,838      6,664.2  void concat_non_cont<unsigned int, (int)0>(const char *, const char *, char *, long, long, long, lo…
      1.3       58,032,250        352    164,864.3    222,141.0      3,072    239,325     98,642.9  void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigne…
      1.3       57,967,150         96    603,824.5    603,928.5    597,241    608,409      2,387.3  void ssm_conv_long_token_f32<(bool)1, (unsigned long)128, (unsigned long)4, (long)32>(const float *…
      1.1       48,525,247        160    303,282.8    381,884.0     71,392    393,307    121,873.8  void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float,…
      1.0       44,790,026         64    699,844.2    699,815.5    690,712    707,128      3,742.0  volta_s884gemm_fp16_64x64_ldg8_tn                                                                   
      0.9       38,902,647        260    149,625.6    149,502.0    143,519    154,751      1,748.7  void rms_norm_f32<(int)1024, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float…
      0.7       33,685,617        192    175,445.9    175,166.0    171,998    179,070      1,556.4  void rms_norm_f32<(int)256, (bool)0, (bool)0>(const float *, float *, int, long, long, long, float,…
      0.6       27,773,118        128    216,977.5    237,133.0     25,823    290,012     84,709.2  void dequantize_block_q6_K<__half>(const void *, T1 *)                                              
      0.4       16,882,968        288     58,621.4     84,719.0      2,496     88,031     37,932.5  scale_f32(const float *, float *, float, float, long)                                               
      0.3       14,905,808        128    116,451.6      7,791.5      4,608    454,235    191,345.5  void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long, long, long, long, long, lo…
      0.3       13,076,710        192     68,107.9     67,807.0     66,464     71,967      1,163.9  void cutlass::Kernel2<cutlass_70_wmma_tensorop_s161616gemm_f16_32x32_64x2_tn_align8>(T1::Params)    
      0.2       10,432,870         64    163,013.6    163,406.5    153,566    170,558      4,503.5  void k_set_rows_quant<long, block_q8_0, (int)32, &quantize_f32_q8_0_block>(const float *, const T1 …
      0.2        6,910,607         32    215,956.5    215,357.5    211,037    221,726      3,376.7  void unary_gated_op_kernel<&op_sigmoid, float>(const T2 *, const T2 *, T2 *, long, long, long, long)
      0.1        5,554,329         64     86,786.4     86,446.5     35,104    138,783     51,334.3  void fwht_cuda<(int)64>(const float *, float *, long, float)                                        
      0.1        5,424,891         64     84,763.9     84,223.0     34,207    135,806     50,354.2  void fwht_cuda<(int)256>(const float *, float *, long, float)                                       
      0.1        4,365,556         64     68,211.8     67,663.5     29,056    108,286     38,704.3  void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, int, int, …
      0.1        2,365,124          2  1,182,562.0  1,182,562.0  1,168,435  1,196,689     19,978.6  void mul_mat_vec_q<(ggml_type)14, (int)1, (bool)0, (bool)0, (bool)0>(const void *, const void *, co…
      0.0        1,449,552         64     22,649.3     22,671.0     15,008     30,976      6,415.8  void dequantize_block_q8_0_f16<(bool)0>(const void *, __half *, long)                               
      0.0          995,604         32     31,112.6     30,976.0     29,152     33,632        877.3  void flash_attn_mask_to_KV_max<(int)16>(const __half2 *, int *, int, long, long)                    
      0.0          565,949         96      5,895.3      6,448.0      3,840      8,192      1,276.0  void k_get_rows_float_vec<float>(const T1 *, const int *, T1 *, long, long, uint3, unsigned long, u…
      0.0          399,450         98      4,076.0      3,536.0      2,687      8,064      1,747.7  void k_get_rows_float<float, float>(const T1 *, const int *, T2 *, long, long, uint3, unsigned long…
      0.0          376,988         96      3,927.0      3,088.0      2,784      8,064      1,939.1  void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigne…
